#CODE GEOPOST;pltri;service mark;FAMILLE GEO ;service text;description produit;PRODUIT CHRONOPOST;NAT OU INTER;parstictise jour;CDB13 O N;PRECOCE;MULTICOLIS fr;instance poste;SAC o OU n;SUFFIXE;CODE fact;libel25;CODE EXP;SERVICE ELEMENT2;libelle fa;ON;;
#;;;;;;;;;;;;;;;;;;;;;;
925;SA18;.;10;PM2-6-BAL.......;COMFORT BAL SAMEDI.;S;N;VE;O;N;O;O;N;JB;2L;SA18.......;658;;.............;O;907;
924;LU18;.;10;PM2-BAL.........;COMFORT BAL........;S;N;VE;O;N;O;O;N;JB;2L;LU18.......;158;;.............;O;908;
930;18H.;.;10;PM2-BAL.........;COMFORT BAL........;S;N;SE;O;N;O;O;N;JB;2M;18H........;58;;.............;O;999;
931;SA18;.;10;PM2-6-BAL.......;COMFORT BAL SAMEDI.;S;N;VE;O;N;O;O;N;JB;2M;SA18.......;658;;.............;O;999;
930;LU18;.;10;PM2-BAL.........;COMFORT BAL........;S;N;VE;O;N;O;O;N;JB;2M;LU18.......;158;;.............;O;999;
406;12H.;.;22;AM2-WSHOP.......;CLASSIC INS POPR...;S;N;SE;O;N;O;O;N;FR;2J;13H........;58;;.............;O;9986;A23
407;SA12;.;22;AM2-6-WSHOP.....;CLASSIC INS POPR SA;S;N;VE;O;N;O;O;N;FR;2J;SA13.......;658;;.............;O;9987;A23
406;LU12;.;22;AM2-WSHOP.......;CLASSIC INS POPR...;S;N;VE;O;N;O;O;N;FR;2J;LU13.......;158;;.............;O;9988;A23
933;12H.;.;22;AM2-WSHOP.......;CLASSIC INS POPR...;S;N;SE;O;N;O;O;N;FR;2J;13H........;58;;.............;O;86;
934;SA12;.;22;AM2-6-WSHOP.....;CLASSIC INS POPR SA;S;N;VE;O;N;O;O;N;FR;2J;SA13.......;658;;.............;O;87;
933;LU12;.;22;AM2-WSHOP.......;CLASSIC INS POPR...;S;N;VE;O;N;O;O;N;FR;2J;LU13.......;158;;.............;O;88;
935;12H.;.;22;AM2-WRAP-NO.....;CLASSIC WRAP.......;S;N;SE;O;N;O;O;N;FR;3J;13H........;58;;ZENGO ALLER..;O;999;
936;SA12;.;22;AM2-6-WRAP-NO...;CLASSIC WRAP SA....;S;N;VE;O;N;O;O;N;FR;3J;SA13.......;658;;ZENGO ALLER S;O;999;
935;LU12;.;22;AM2-WRAP-NO.....;CLASSIC WRAP.......;S;N;VE;O;N;O;O;N;FR;3J;LU13.......;58;;ZENGO ALLER L;O;999;
937;12H.;R;22;AM2-SHOP-WRAP...;CLASSIC WRAP SHOP..;S;N;SE;O;N;O;O;N;FR;3K;13H REL....;58;;ZENGO RET....;O;561;
938;SA12;R;22;AM2-6-SHOP-WRAP.;CLASSIC WRAP SHOP S;S;N;VE;O;N;O;O;N;FR;3K;SA REL.....;658;;ZENGO RET SA.;O;562;
937;LU12;R;22;AM2-SHOP-WRAP...;CLASSIC WRAP SHOP..;S;N;VE;O;N;O;O;N;FR;3K;LU REL.....;58;;ZENGO RET LU.;O;563;
